,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7860405436555157,0.03639952919121762,0.7840983587494685,0.03543063083950957
proposed,0.7879758980352929,0.040702170085992674,0.7842856000550055,0.038828594807760505
rf,0.7083670923338208,0.05996291389906998,0.6577987692506811,0.08740464793660395
nb,0.5270074889715891,0.06495245134217296,0.14152783836052327,0.23662501552555065
log+nb,0.6827667978603891,0.0484868306992779,0.6663906212489524,0.05772362321994884
sm+nb,0.5304891137981947,0.07103618937495508,0.14752093624677082,0.2471815462235094
rus+nb,0.6127085014770091,0.06823485444468566,0.4630456973869821,0.2248523129763021
SMTBoost,0.7046768981623791,0.059702319984138136,0.6607950741848801,0.0863623731874244
RUSBoost,0.6601527580287254,0.08987873375477835,0.6420388315071126,0.10672260700683944
BalancedRF,0.7958622326481969,0.04169539726533737,0.7928953217066294,0.039590697279269234
log+BalancedRF,0.7928552996565583,0.04088347506922944,0.7902367108823929,0.039513588316059986
log+ERUS,0.7856784915051401,0.04008672399033841,0.7834231162034696,0.038842786808120366
log+prop,0.7923274041728938,0.03925618467779845,0.7879378863173047,0.03753232269802011
