,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.6756237305777015,0.03528169279263521,0.6555397313595657,0.046087398943817096
proposed,0.6792823700338732,0.03710806905681824,0.6647330163709415,0.045690325779648176
rf,0.544716131980214,0.015889788005847342,0.2991264543204989,0.053304139678403625
nb,0.5299649695010857,0.025507443701095717,0.2390863601314172,0.11714508027419802
log+nb,0.7075732127718847,0.03453249875371621,0.6909337833400504,0.043410584811187744
sm+nb,0.5517271253521869,0.05552837956542026,0.3168677919573701,0.15694089988718227
rus+nb,0.5482119873024656,0.02840766275075741,0.3287651809430817,0.10697515777244973
SMTBoost,0.5523601074734307,0.0206423085496925,0.34321220794876794,0.058571210431864376
RUSBoost,0.6009958450786431,0.043336294166381885,0.5181997749425039,0.08272987127185165
BalancedRF,0.7186330024995429,0.03126890598267716,0.7050712319515893,0.03675226392673792
log+BalancedRF,0.7190160281038134,0.031093331171332877,0.706152498008732,0.03600212571814584
log+ERUS,0.6708799881838438,0.02756863291595953,0.648953434453708,0.03718282052461872
log+prop,0.6870396444008866,0.041117353590166966,0.6739100570240865,0.04954109677223922
