,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7328865295181975,0.0345988858829325,0.7318788414431899,0.034659995279954565
proposed,0.7350946758830024,0.03036886219997232,0.7338576999295319,0.030089402925245437
rf,0.5793251111292512,0.02950334235602428,0.39764053303217545,0.07603833615407186
nb,0.6856535275008064,0.031733740344122074,0.6458979691181431,0.046249923749222786
log+nb,0.7519302813962098,0.031269042159797845,0.7494408583412385,0.03374755081252686
sm+nb,0.7003669860000057,0.035129419626002995,0.6710200011351526,0.0484317132713975
rus+nb,0.6846223628872259,0.03656799117245877,0.6557287480297778,0.047138868365007816
SMTBoost,0.5941825652408321,0.03343022905818654,0.444114534877906,0.07828353485058326
RUSBoost,0.6154760371525473,0.06302594130674329,0.5751247859247163,0.10752414998445432
BalancedRF,0.7393339586566435,0.030565941651218512,0.7378151123050074,0.0308842211277063
log+BalancedRF,0.7427478928046161,0.034801010333192946,0.741608735907624,0.03464252835913832
log+ERUS,0.7251565994953754,0.04226206292410665,0.7221351509105218,0.0490292928642579
log+prop,0.7390690241932992,0.034365617216630236,0.7378421583843167,0.03387209358047775
