,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7812471075328975,0.03555425814137824,0.7774006730642544,0.033885599309080285
proposed,0.7847188410488355,0.04081978826612302,0.7719168637099508,0.03804972348003608
rf,0.7549999368540253,0.05038775857596419,0.7436203675920863,0.05830894894067583
nb,0.5339361394533301,0.029807373598616894,0.22245513595053587,0.14698590922089866
log+nb,0.8078882816164801,0.03938449337307327,0.8067286024707571,0.03910258949414317
sm+nb,0.5340299510556956,0.02988896662660495,0.22248724241478834,0.14701860354898466
rus+nb,0.540832529637945,0.03225837879749185,0.25785297740733504,0.14219158736198265
SMTBoost,0.7145544073070795,0.0505414647884941,0.6984496126033807,0.06145876961621225
RUSBoost,0.6591533250427634,0.0663545930828477,0.6563698449054979,0.06719486875748595
BalancedRF,0.7909349026780284,0.03401079756100826,0.783142901318137,0.031423508368480374
log+BalancedRF,0.787662329641793,0.04003949829037156,0.7798284452933129,0.03706059482418193
log+ERUS,0.7898483820586246,0.040565867735211716,0.784703875829954,0.037860804254881086
log+prop,0.7859524986894993,0.032708114493507356,0.7737681417373145,0.030626848324640393
