,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.6892491586677266,0.019932083898975245,0.6699198586254989,0.02510949849634787
proposed,0.6983218784177645,0.023309207359219274,0.6856943333031221,0.02737993681192541
rf,0.5185423852108016,0.007859058951629229,0.1941118009550704,0.039242557627652684
nb,0.5045714931186464,0.0037952951070324274,0.114136237374383,0.033664575099828585
log+nb,0.6665649979586847,0.015674973844637983,0.6205514586465117,0.02290582968943573
sm+nb,0.5079433090409969,0.021224672723247486,0.1291092651551747,0.07697743455222036
rus+nb,0.5082725127199079,0.008384584716444677,0.1487681791938245,0.05824254005630864
SMTBoost,0.5417415414909128,0.013448674522644049,0.29483796382335964,0.04414506624929365
RUSBoost,0.5903145384986664,0.037749262172840886,0.536433360091297,0.06549456546713599
BalancedRF,0.7191863110769889,0.020111078535834652,0.7092399790204114,0.022874835499994375
log+BalancedRF,0.7198227388752423,0.023198474021971723,0.7102318498283369,0.026174199606161755
log+ERUS,0.6882927124492602,0.025916036360822306,0.6690702326137774,0.03314613308519649
log+prop,0.7005428098809722,0.025326087011846143,0.6871272906303363,0.030242095907139173
