,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.5860715390191277,0.0453204978391529,0.5666155196273912,0.056261884713681286
proposed,0.6090398278158745,0.03228785614284905,0.5915348740570853,0.04408491698680242
rf,0.5051649900617503,0.005593442324024515,0.07429693386755651,0.07194023053922237
nb,0.5118600086841395,0.03773423104881545,0.14598242369593856,0.15599117861457035
log+nb,0.6105354274951871,0.03211785699337527,0.5503841894535894,0.057008687293894536
sm+nb,0.4969065855187164,0.006975718959896987,0.08732551994841138,0.02742186465935609
rus+nb,0.5186740417151204,0.018112969336613428,0.2450105892989468,0.08556803473934575
SMTBoost,0.5056404356228389,0.00951723643877336,0.08481546106110564,0.08622716655881191
RUSBoost,0.5590528353577293,0.038857066947150666,0.4596777045034406,0.08248614279718122
BalancedRF,0.6360048822588681,0.036011158649730944,0.6290745690433563,0.041415407519738455
log+BalancedRF,0.6334051166044932,0.0352156161496274,0.6260843995742839,0.04004754331775882
log+ERUS,0.5856909358040844,0.0534293750084963,0.563239073238976,0.07276450525365506
log+prop,0.6082834342259644,0.04334232897694546,0.5942451199728367,0.05229323187150976
