,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7284683270595649,0.03276995399340794,0.7243565353070036,0.035608611907521605
proposed,0.7356096451571272,0.03240675444010625,0.7329020829174114,0.03488790986434838
rf,0.5604602304297374,0.015057600668529937,0.3486420415092117,0.042568089573799435
nb,0.6676242862566608,0.025041786108523367,0.6138786833784952,0.037556782419122366
log+nb,0.7129346858596389,0.02815352396201106,0.7019059437079054,0.0331269541782224
sm+nb,0.6780544747113321,0.0270349060619542,0.6361414038430638,0.0387423515726634
rus+nb,0.6866276499108593,0.028645721103683363,0.6523921480417479,0.040352383299808274
SMTBoost,0.5803099573776379,0.023234870924374915,0.41193608085893774,0.057540584587477885
RUSBoost,0.6247317778922679,0.05525008088632324,0.5886721804653139,0.0853685042603818
BalancedRF,0.7388652582176215,0.022180708852657084,0.7372042530169503,0.02332114237930769
log+BalancedRF,0.7412880790791674,0.021466713080557497,0.7398274436496445,0.02262702083192477
log+ERUS,0.7340725661366327,0.03354447420325171,0.7286957519538088,0.0378225393440703
log+prop,0.7417622966552011,0.031239687574232587,0.7393474710436291,0.033487888239400035
