,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.6889585734120713,0.033520648965072716,0.6589538449275848,0.04862776180815514
proposed,0.7038682176258982,0.03991368171775763,0.6809044072434556,0.05529153181798772
rf,0.5280631112695173,0.014196261851861998,0.2324795666348893,0.05851230198335186
nb,0.5501973396537123,0.02556732204968521,0.3164968810561919,0.07945385125054527
log+nb,0.7011333538006073,0.030709103704145094,0.6563842056061635,0.046562812615205965
sm+nb,0.5454703856974841,0.02512395916119445,0.2993565726078463,0.0824611119322017
rus+nb,0.5614660934573753,0.024578268229021802,0.3554779427581606,0.07315120296356062
SMTBoost,0.5369489573830666,0.014083460127581415,0.2770306282622481,0.05242959088681839
RUSBoost,0.5953554885254786,0.03925524024282897,0.4741272366598357,0.09924437902615216
BalancedRF,0.7259930213492595,0.029474021832977298,0.7061944353452053,0.03756665765772713
log+BalancedRF,0.7276719779519958,0.030044806106910436,0.7093177635945646,0.0377313610596044
log+ERUS,0.6850906785970899,0.03560520291215768,0.652905357044878,0.049867751923180215
log+prop,0.6978024830787684,0.034210411107977436,0.6763767259234379,0.044438753069068464
