,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7010985385987796,0.03542589081899738,0.6983903616186132,0.037488935422904594
proposed,0.7153224617486165,0.02824866919508324,0.7145139788138597,0.02844932850179985
rf,0.6101404607413174,0.025140629159733117,0.522411866246691,0.04259534487709636
nb,0.4985074294305976,0.005670746410027773,0.04755785971274812,0.054203020404764296
log+nb,0.6831948705988806,0.03304389595013087,0.6720256763856775,0.03826786504013053
sm+nb,0.4966214479606338,0.005371482694160859,0.06743516604633884,0.04145430778756265
rus+nb,0.5161479995343066,0.03156762273597185,0.15886567930163475,0.15270793177614395
SMTBoost,0.6216277005070077,0.03376020924614378,0.561238987544995,0.04973878664674062
RUSBoost,0.6436103377045288,0.042791116232180064,0.6303446798683331,0.05027243570483348
BalancedRF,0.7219643205738773,0.030428955439761353,0.7208913680019314,0.03134483378547881
log+BalancedRF,0.7212497025035549,0.032105520990190435,0.7202173594321286,0.03254177954883769
log+ERUS,0.7023866412774125,0.033247067922048984,0.6999805727253419,0.03511127464603345
log+prop,0.7201616557342202,0.028721463037574137,0.7196125857336877,0.028757969638677758
