,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.6064623016849862,0.03180981456658415,0.5896367436583637,0.038150838198246766
proposed,0.6072900940795852,0.02853259916657857,0.595403810051781,0.034684136008504424
rf,0.5218935260573778,0.007187977559762217,0.2096212020720824,0.03733235271261028
nb,0.5008261778684331,0.013044659535554979,0.0710544690373394,0.09782269980490436
log+nb,0.6574325023490448,0.025247088317696627,0.6377702495076083,0.03206552835717389
sm+nb,0.503169595796022,0.025803998219018246,0.1440300620653755,0.10671044528020844
rus+nb,0.5108919631427904,0.01711003048285816,0.1479246072291534,0.1010408586305118
SMTBoost,0.5262106127417128,0.009688852712234991,0.2440397758373857,0.04082924090967046
RUSBoost,0.5450300974687924,0.02909708837353735,0.4725825069090106,0.05372751835559702
BalancedRF,0.6338707022096919,0.031003887841620927,0.622899394680885,0.037386456877252026
log+BalancedRF,0.6317060907630787,0.023567081248322262,0.6206889701215749,0.029116887518770184
log+ERUS,0.6059007656640674,0.02627808855757545,0.5897723049505824,0.03052303090387983
log+prop,0.6165815478872019,0.031100530062980507,0.6037748418969038,0.03610500586105827
