,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.6965786233561534,0.022697821022431397,0.6801039923030994,0.02821226386850197
proposed,0.7037808400152671,0.03065972483424985,0.6929879669703327,0.034066223652660266
rf,0.5225936678680225,0.011208941554079734,0.20963213755534466,0.04854496487285253
nb,0.5069679058278125,0.005254618261992456,0.12250765153914438,0.057235031010391686
log+nb,0.7040294613631163,0.022614772735731304,0.6841994006939698,0.02870630045994938
sm+nb,0.506709028309815,0.017508850406242383,0.13720075823041356,0.08761036174243818
rus+nb,0.5054529090013675,0.009530475010143624,0.13246046675915704,0.06371513307097866
SMTBoost,0.5417606851331686,0.014466858267357191,0.2990426850465155,0.04848101025352977
RUSBoost,0.5883498294742605,0.047729621788862885,0.5491392663754294,0.05270955857289559
BalancedRF,0.7071065975449132,0.021044136404495734,0.6994375532372381,0.023187320036020274
log+BalancedRF,0.7100910260217512,0.01992513002839518,0.7030674519194505,0.0218805132828024
log+ERUS,0.6953028106633017,0.025036381298699208,0.6790075282142651,0.03200940348274494
log+prop,0.7028908712640313,0.024182377253596527,0.6927634133203151,0.027924595568562922
