,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7147700381339879,0.04040393225486709,0.7135729569539748,0.04104115652469949
proposed,0.7321253460703979,0.03679504848089396,0.7306458984191817,0.037159787225632346
rf,0.5500282518582212,0.03110331871064197,0.3644976789791609,0.08181170287535885
nb,0.4988123561942535,0.008296601825665856,0.05267007564471059,0.08622033815596661
log+nb,0.7208733888835738,0.02935835200592748,0.7197574572433231,0.030288311993850545
sm+nb,0.5031194498698514,0.026163680026713786,0.09829321783632428,0.10871723250528788
rus+nb,0.5115101439154104,0.02872905741023915,0.13425953808641206,0.1637009648362866
SMTBoost,0.5943947584398309,0.042635298337465474,0.4855976182487164,0.08135688364806327
RUSBoost,0.6421253281094026,0.0448306879688115,0.6259243521965926,0.05432882952864033
BalancedRF,0.7544172529243703,0.030814212259764304,0.7535391588437117,0.030385359558753707
log+BalancedRF,0.7529207186851719,0.03420288764692019,0.7519563916535624,0.033798966802140756
log+ERUS,0.7234704194709556,0.030888946819802806,0.722535283568582,0.031075341946084162
log+prop,0.7464149551168741,0.030359093286713146,0.7447366264048154,0.029809710846580798
