,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7418527041311769,0.026368079238489568,0.7384928681072143,0.02895380146786852
proposed,0.7455999245261709,0.022472302241396645,0.7435174992359541,0.023906646053059914
rf,0.528669586547019,0.01907960899593034,0.2265836791427073,0.08480044196659414
nb,0.6285854860116885,0.048639570910690585,0.5165970563123302,0.09311627479323703
log+nb,0.7571573862611072,0.02456450084891868,0.7482098231832741,0.028708213451150374
sm+nb,0.6112304830356503,0.06535334248730107,0.4690389196007087,0.13652731405192792
rus+nb,0.5865655883182811,0.06618277986933456,0.40095867118323547,0.15634221408249094
SMTBoost,0.5326270359950542,0.01689602039933049,0.25119355099377105,0.07341187381449378
RUSBoost,0.5991162034856226,0.06370517315365158,0.5698042481220914,0.07424260579553076
BalancedRF,0.7476549966155128,0.019811801159121862,0.7463485835902228,0.020662517099434667
log+BalancedRF,0.7454372010024922,0.02071454063614647,0.7441076224416415,0.02164355287101548
log+ERUS,0.7417528649659335,0.019804910367542446,0.7388453172291168,0.021284608840558463
log+prop,0.7428249627810015,0.027905896925373222,0.7404777114834605,0.02988733413784077
