,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7009440096647411,0.02855255915239192,0.6996359258888596,0.029443745981831894
proposed,0.6981910112749872,0.02438160159226559,0.6960429645976419,0.02365339461694761
rf,0.6170996390121701,0.0253268854497904,0.5280393078775428,0.04436387036952908
nb,0.6241817861442122,0.026195713003031543,0.5297958438887506,0.05112744865885251
log+nb,0.6691863184627632,0.02951666715024061,0.6451010183406358,0.03768105533673024
sm+nb,0.62635998200038,0.02878809987110072,0.536625049102039,0.05360132552099253
rus+nb,0.6232286085568559,0.02869427830770992,0.5296183391593144,0.05686573385790749
SMTBoost,0.6318424206611784,0.02590544601439472,0.5701191742558767,0.039606767766438206
RUSBoost,0.6077508690426503,0.038610870767761284,0.5994915045261623,0.04019282855153857
BalancedRF,0.6969285585574576,0.027461635227230847,0.6958784437315514,0.027296223205003
log+BalancedRF,0.6992477042665521,0.029860043716831517,0.6982094401655092,0.029419380363359518
log+ERUS,0.7060694448666449,0.02725853142209104,0.7051564727722626,0.027597137093813402
log+prop,0.7094021829030227,0.02101553922016781,0.707941783970484,0.020340882358900806
