,auc_mean,auc_std,gmean_mean,gmean_std
ERUS,0.7564302248467263,0.032874327391546894,0.7555306176405026,0.03350830103063515
proposed,0.7547785498651052,0.026420760187845692,0.7538175749278662,0.02602041892799385
rf,0.5270751522314848,0.015476855336200331,0.2189565858376615,0.08375160857394683
nb,0.6342960484322969,0.03374431150519416,0.5436311799237743,0.06089025960351833
log+nb,0.7257140551361553,0.035745207904460764,0.7110767765560106,0.043641504418146966
sm+nb,0.6609781743927171,0.03547074135696017,0.5946258777392471,0.059195892587870225
rus+nb,0.6389481675657214,0.04065210150947445,0.5534764813458117,0.07389292790368564
SMTBoost,0.5213773150495239,0.015868153211806894,0.1918038051893209,0.0922419421674752
RUSBoost,0.6083595074541615,0.06016709149225971,0.5760894962787871,0.08720879748228494
BalancedRF,0.7807808674084574,0.025693594896349075,0.7796059015968668,0.02466860920525254
log+BalancedRF,0.7785432785598102,0.024253705187217867,0.7773112576098724,0.023165507690363518
log+ERUS,0.7557956765662268,0.027837336763348017,0.7550483381023323,0.027967963167587147
log+prop,0.7626017309499831,0.025997797124742515,0.7617865765225115,0.02535901406850987
